ticker,window_years,strategy,total_return,buy_hold_return,alpha,total_profit,win_rate,max_drawdown,sharpe_ratio,trades,winning_trades,ending_equity,error
NVDA,5,Bollinger 20D/2SD,1.8495545062349996,10.84188675854648,-8.99233225231148,18495.545062349996,0.9090909090909091,-0.39793467662026916,0.9394641773964216,22,20.0,28495.545062349996,
NVDA,10,Buy Hold,179.48632645752173,179.48632645752173,0.0,1794863.2645752174,,,,1,,1804863.2645752174,
NVDA,10,RSI 30/70,3.3940625130393416,181.49918980433932,-178.1051272913,33940.62513039342,0.8333333333333334,-0.5330114884027062,0.6783638101328167,24,20.0,43940.62513039342,
NVDA,10,MA 5/20 Crossover,29.79626656857349,177.86172447661602,-148.06545790804253,297962.6656857349,0.47435897435897434,-0.4707121997677416,1.1032112874705633,78,37.0,307962.6656857349,
NVDA,10,Momentum 20D,28.288817320061277,179.48632645752173,-151.19750913746046,282888.1732006128,0.45132743362831856,-0.5012498717019959,1.078581755730116,113,51.0,292888.1732006128,
NVDA,10,Bollinger 20D/2SD,2.6268822073808007,179.48632645752173,-176.85944425014094,26268.822073808005,0.8717948717948718,-0.5538456460853401,0.6284087071774878,39,34.0,36268.822073808005,
TSLA,5,Buy Hold,0.9976699161912683,0.9976699161912683,0.0,9976.699161912684,,,,1,,19976.699161912682,
TSLA,5,RSI 30/70,1.09140471947775,0.9976699161912683,0.09373480328648176,10914.0471947775,0.8125,-0.6126802989519498,0.5511183521815035,16,13.0,20914.0471947775,
TSLA,5,MA 5/20 Crossover,1.6663591919437977,0.9976699161912683,0.6686892757525293,16663.59191943798,0.4166666666666667,-0.46286300334437536,0.694989697016695,36,15.0,26663.59191943798,
TSLA,5,Momentum 20D,1.108043409590051,0.9976699161912683,0.11037349339878277,11080.434095900513,0.31666666666666665,-0.47536702177980317,0.5752298076658551,60,19.0,21080.434095900513,
TSLA,5,Bollinger 20D/2SD,0.23137176123027836,0.9976699161912683,-0.76629815496099,2313.717612302784,0.75,-0.5231453411107194,0.2910843638172478,20,15.0,12313.717612302784,
TSLA,10,Buy Hold,26.389207118849523,26.389207118849523,0.0,263892.0711884952,,,,1,,273892.0711884952,
TSLA,10,RSI 30/70,2.097661094958526,30.293036582876642,-28.195375487918117,20976.610949585258,0.7333333333333333,-0.63926362443713,0.4801637402424767,30,22.0,30976.610949585258,
TSLA,10,MA 5/20 Crossover,20.670098604528782,26.918014579587876,-6.247915975059094,206700.9860452878,0.40789473684210525,-0.5592711796285361,0.9446303186104944,76,31.0,216700.9860452878,
TSLA,10,Momentum 20D,31.298903205710744,26.389207118849523,4.909696086861221,312989.0320571074,0.3793103448275862,-0.5300096017032483,1.033831032647757,116,44.0,322989.0320571074,
TSLA,10,Bollinger 20D/2SD,1.3472395430094588,26.389207118849523,-25.041967575840065,13472.395430094588,0.7368421052631579,-0.5231453411107194,0.4276497550787624,38,28.0,23472.395430094588,
AMZN,5,Buy Hold,0.58561103530514,0.58561103530514,0.0,5856.1103530514,,,,1,,15856.110353051401,
AMZN,5,RSI 30/70,0.13227767652928124,0.58561103530514,-0.4533333587758588,1322.7767652928123,0.6923076923076923,-0.520346027144372,0.22566046409818147,13,9.0,11322.776765292812,
AMZN,5,MA 5/20 Crossover,0.3596401892282326,0.58561103530514,-0.22597084607690743,3596.401892282325,0.46875,-0.35808998036216955,0.37532821321047494,32,15.0,13596.401892282325,
AMZN,5,Momentum 20D,0.26105239463177,0.58561103530514,-0.32455864067337004,2610.5239463177004,0.43636363636363634,-0.4361710489359293,0.3135284796095492,55,24.0,12610.5239463177,
AMZN,5,Bollinger 20D/2SD,0.49662626154724365,0.58561103530514,-0.08898477375789637,4966.262615472437,0.65,-0.3446419528431064,0.4946679807286925,20,13.0,14966.262615472437,
AMZN,10,Buy Hold,5.977557151173259,5.977557151173259,0.0,59775.57151173259,,,,1,,69775.57151173259,
AMZN,10,RSI 30/70,1.1196528049204364,6.254777949549027,-5.13512514462859,11196.528049204364,0.75,-0.5203460271443718,0.44301607764801904,24,18.0,21196.528049204364,
AMZN,10,MA 5/20 Crossover,1.6139700695885772,5.987652698542932,-4.373682628954354,16139.700695885771,0.4864864864864865,-0.35808998036216955,0.5460581575540637,74,36.0,26139.70069588577,
AMZN,10,Momentum 20D,2.910799379111472,5.977557151173259,-3.066757772061787,29107.99379111472,0.4782608695652174,-0.5144808995684619,0.7139636367085719,115,55.0,39107.99379111472,
AMZN,10,Bollinger 20D/2SD,1.7069404295981214,5.977557151173259,-4.270616721575138,17069.404295981214,0.7142857142857143,-0.3446419528431065,0.648982493569357,35,25.0,27069.404295981214,
GOOGL,5,Buy Hold,2.079715439426519,2.079715439426519,0.0,20797.154394265188,,,,1,,30797.154394265188,
GOOGL,5,RSI 30/70,0.7023946308981481,2.079715439426519,-1.3773208085283708,7023.946308981482,0.7142857142857143,-0.350836678572948,0.6159986068045473,14,10.0,17023.94630898148,
GOOGL,5,MA 5/20 Crossover,0.5379835962260209,2.079715439426519,-1.541731843200498,5379.835962260209,0.39473684210526316,-0.4347067111100358,0.49397242866074104,38,15.0,15379.83596226021,
GOOGL,5,Momentum 20D,0.4842762128678817,2.079715439426519,-1.5954392265586372,4842.762128678816,0.4262295081967213,-0.4595049878350108,0.4517932841802416,61,26.0,14842.762128678816,
GOOGL,5,Bollinger 20D/2SD,0.34287436497925183,2.079715439426519,-1.736841074447267,3428.7436497925173,0.7368421052631579,-0.2720209104651119,0.44735735293548334,19,14.0,13428.743649792517,
GOOGL,10,Buy Hold,9.133962417554443,9.133962417554443,0.0,91339.62417554444,,,,1,,101339.62417554444,
GOOGL,10,RSI 30/70,1.5226450072341113,9.797432327812786,-8.274787320578675,15226.450072341115,0.7083333333333334,-0.3508366785729481,0.5725653850197042,24,17.0,25226.450072341115,
GOOGL,10,MA 5/20 Crossover,2.029603501695388,9.416614022681832,-7.387010520986444,20296.03501695388,0.4155844155844156,-0.4347067111100361,0.6346450884959548,77,32.0,30296.03501695388,
GOOGL,10,Momentum 20D,2.3136698018444433,9.133962417554443,-6.82029261571,23136.698018444433,0.4700854700854701,-0.4595049878350105,0.6647251086945314,117,55.0,33136.69801844443,
GOOGL,10,Bollinger 20D/2SD,1.0584401774593868,9.133962417554443,-8.075522240095056,10584.401774593869,0.8235294117647058,-0.2720209104651119,0.540198981980343,34,28.0,20584.40177459387,
